cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
UgyeI7JLausblxc07Nd4AaABAg,"To everyone confused with the comments: When this video first came out people started to give a lot of criticisms, so Disney started to delete it all at the same time that a bunch of similar positive comments started to appear saying ‘I love when Ariel did this’ ‘I love when they’ve done that’ etc.. so instead of saying what they meant, they started to play along by saying they loved something that isn’t there, to mock/protest. 

It also seem be a reference to LOTR’s ‘Evil cannot create anything new, they can only corrupt and ruin good forces have invented or made’ because Disney/Hollywood doesn’t (seem to) do this because they care, but because they want easy money and praise while not creating anything new, because apparantly ‘poc’ and women aren’t worth the risk, so by making parodies of already established franchises, they get points with people who are nostalgic and who want representation, while not putting up the work.",1 bulan yang lalu,K ORA,UCVqjLZY1mxSIw-yHPNgshQg,40 rb,https://yt3.ggpht.com/ytc/AMLnZu8Czgv0PFPlCDCwJmNYEanbJ3Kyz9NmqW5PzthmYQ=s176-c-k-c0x00ffffff-no-rj,false,false,1664341268.936532
UgybZDnmTHPeHgO5DQV4AaABAg,"The part where Ariel says “If liberty means anything at all, it means the right to tell people what they do not want to hear” sent chills down my spine",1 hari yang lalu,Franco C,UCMpuPa27CSYKdtKE13DaR9Q,98,https://yt3.ggpht.com/ytc/AMLnZu9TCe-hGv9OLz34X2puIpsyOJil6NO0dYK0kReM0Q=s176-c-k-c0x00ffffff-no-rj,false,false,1666846868.939243
Ugy5nEghWD12LrP3oil4AaABAg,What a cinematic masterpiece. My favorite scene was when she approached the 7 elders and they said “the council shall decide your fate”,4 hari yang lalu,Johnny Larkin,UC7G3y6369uWBINkSsprVieQ,32,https://yt3.ggpht.com/IdDWSKNOmoO3KFZCVYrKw2xOxkGiWewWMW79CWegSP878aacwGMm7m5JUZYeVF9FVs4bQN1lmw=s176-c-k-c0x00ffffff-no-rj,false,false,1666587668.94117
UgybN3rPFeVrvfOKZIl4AaABAg,The part where the little mermaid said “Don't judge each day by the harvest you reap but by the seeds that you plant.”  sent chills down my spine,7 jam yang lalu,scrachnix,UC4-FAnrbyOvRLh_rRoOFm8A,2,https://yt3.ggpht.com/XmBt89DROR2wQLIf5EjzTVWAlUa-0lL6MYgL6JXTWxrnhySeC2SeHe2TrNyBp_Iytk38Zy5DXAo=s176-c-k-c0x00ffffff-no-rj,false,false,1666908068.942801
Ugyq4Zc40TbZf6fref54AaABAg,The part where the little mermaid said “You're gonna need a bigger boat”  sent shivers down my spine.,10 hari yang lalu,Rappodon,UC5WhgsXwAgwor5fBlSXOTew,533,https://yt3.ggpht.com/ytc/AMLnZu-w3dxgqUfLThtfWxSKOoVYcDrP3Y31tsijIPA8=s176-c-k-c0x00ffffff-no-rj,false,false,1666069268.944943
Ugxo7NH88xj_efdbd3t4AaABAg,I love the part where Ariel says “I am inevitable” was so powerful. I felt that,3 hari yang lalu (diedit),Bnerty,UCXf49TpwMFXxGUvHD6pGSzA,50,https://yt3.ggpht.com/ytc/AMLnZu8XNf0Wee1QdjsKd3du-oGSeBOLZYu5WrgEYbFa=s176-c-k-c0x00ffffff-no-rj,false,false,1666674068.946785
UgytxrQu0iskMPl4V5V4AaABAg,The part where the little mermaid said “it’s mermaiding time”  sent shivers down my spine.,1 bulan yang lalu,Wiliboi,UCKkCvutA2DlsaK_jRAZB18g,23 rb,https://yt3.ggpht.com/COl8Z_RXqmbSmIf93BxBMhIK6IPmML6d_68YosYgiZQ80kJ8BG8O-ZmDOZ-k869-WVR1EoVIFkc=s176-c-k-c0x00ffffff-no-rj,false,false,1664341268.948801
UgwI4yKGcFp2ghQtI-94AaABAg,"I love the part when Ariel said, ""You should've gone for the head."" Really sent shivers down my spine.",1 jam yang lalu,Ricky Rat,UCjg3nUHAXTFuSmi3QmbCE9g,3,https://yt3.ggpht.com/s_V3p3nZLSMfecnr-aSlq9IPZj2nF3v9y7CJ-Golj_De5gcpAbcGS8qswvzk0ILOtqfz_qY9zw=s176-c-k-c0x00ffffff-no-rj,false,false,1666929668.95043
UgwOIxmF5IpREtUfZfV4AaABAg,"The part where Ariel said ""YOUUUU SHALL NOT PASS!!!"" sent chills down my spine.",9 hari yang lalu,Logicalfear2001,UCpOnslT-E4VG05U3HD9x9QQ,397,https://yt3.ggpht.com/YA_J800NzjbN7iabrkNe5wd_V9yAM6H0e63XyWD-JvpJj_RL2_lgeF2U2ab7QaSH8XUv4zWxyQ=s176-c-k-c0x00ffffff-no-rj,false,false,1666155668.952248
Ugy8PH1ixcrnF1Ybibd4AaABAg,"The part where Ariel said ""Never gonna give you up, never gonna let you down, never gonna run around and dessert you."" Sent shivers down my spine.",11 hari yang lalu,Aunicatchu Gio,UCLO5iwWTDqpE05p-QO4LgSg,304,https://yt3.ggpht.com/6b1xPbZUkVLCugS3ICCUz1lKe9xZ-vZfRqzoVVKpa5MPBbzNqrwUkOc1Zz9oxc04HjO0GS6HIQ=s176-c-k-c0x00ffffff-no-rj,false,false,1665982868.954121
